Issue Type,Epic Name,Summary,Description,Status
Epic,Price Comparison Backend,Price Comparison Backend,Backend service that queries Apify and returns ranked, normalized offers.,
Story,Price Comparison Backend,Set up Express server with Apify integration for product search,"Implement POST /api/compare that calls the Google Shopping Apify actor with query + country and returns raw offers. Acceptance criteria: given a product query and country, endpoint returns a list of offers with title/store/price/link within 30s.",Done
Story,Price Comparison Backend,Normalize and rank offers by price,"Map raw Apify fields to a clean schema (title, store, price, displayPrice, rating, reviews, delivery, link) and sort ascending by price. Acceptance criteria: response includes a sorted results array and a single bestDeal object.",Done
Story,Price Comparison Backend,Filter out mismatched/junk listings before ranking,"Google Shopping data includes obviously wrong offers (e.g. a $20 listing for a $250 product). Filter out prices far below the median before selecting the best deal. Acceptance criteria: best deal is never more than 50% below the median price of all returned offers.",Done
Story,Price Comparison Backend,Add response caching for repeated queries,"Cache /api/compare results per (query, country) for a short TTL (e.g. 15 min) to cut Apify cost and latency on repeat searches. Acceptance criteria: identical query+country within TTL window does not trigger a new Apify run.",To Do
Story,Price Comparison Backend,Add rate limiting on /api/compare,"Protect the endpoint from abuse/runaway cost since each call is billed via Apify. Acceptance criteria: requests beyond a configurable per-IP limit return 429.",To Do
Story,Price Comparison Backend,Support multi-currency normalization,"When comparing offers across countries/currencies, convert to a common display currency or clearly label each offer's currency. Acceptance criteria: UI never shows mixed currencies without labels.",To Do
Story,Price Comparison Backend,Add automated tests for normalization and filtering logic,"Unit tests for the median-based outlier filter and offer normalization mapping. Acceptance criteria: tests cover empty results, all-junk results, and normal mixed results.",To Do
Story,Price Comparison Backend,Add logging/monitoring for Apify run failures and cost,"Log failed Apify runs and track spend so cost doesn't silently spike. Acceptance criteria: failed runs are logged with query/country; a daily cost figure is obtainable.",To Do
Epic,Location Detection,Location Detection,Detect the customer's region so store results are localized automatically.,
Story,Location Detection,Detect location via browser geolocation + reverse geocoding,"Use navigator.geolocation and a reverse-geocode API to resolve the user's country. Acceptance criteria: on permission grant, country is detected without user input.",Done
Story,Location Detection,IP-based fallback when geolocation is unavailable,"If geolocation is denied or unsupported, fall back to IP-based country lookup. Acceptance criteria: app still resolves a country with no location permission granted.",Done
Story,Location Detection,Manual country override dropdown,"Let the user override the detected country. Acceptance criteria: changing the dropdown changes the country used in the next search.",Done
Story,Location Detection,Expand supported country list,"Grow the country dropdown beyond the initial 10 (US, GB, IN, CA, AU, DE, FR, AE, SG, JP) based on user demand.",To Do
Story,Location Detection,Persist preferred region across sessions,"Remember the user's last-used or manually selected country on return visits. Acceptance criteria: returning user sees their previous country pre-selected.",To Do
Epic,Web App Frontend,Web App Frontend,Web UI for searching and comparing products.,
Story,Web App Frontend,Scaffold React app with search UI,"Vite + React app with a search bar and submit flow. Acceptance criteria: user can type a product and trigger a search.",Done
Story,Web App Frontend,Best deal card and full results list,"Highlight the lowest legitimate price in a card; list remaining offers below with store, price, and link. Acceptance criteria: best deal is visually distinct from the rest of the list.",Done
Story,Web App Frontend,Loading and error states,"Show a loading indicator during search and a readable error message on failure (e.g. missing token, network error). Acceptance criteria: no blank/broken UI on error.",Done
Story,Web App Frontend,Responsive/mobile layout polish,"Ensure the layout works well on small screens (results list, best deal card, search row). Acceptance criteria: no horizontal scrolling or overlapping elements at 375px width.",To Do
Story,Web App Frontend,Show product image thumbnails in results,"Display the product thumbnail (already returned by the actor) next to each offer. Acceptance criteria: thumbnail renders or gracefully falls back to a placeholder.",To Do
Story,Web App Frontend,Add filter/sort controls on results,"Let users sort by price/rating or filter by minimum rating/free shipping. Acceptance criteria: changing a filter updates the visible list without a new API call.",To Do
Story,Web App Frontend,Price-drop alerts (save/track a product),"Let a signed-in user save a product and get notified if the best price drops. Requires backend storage + a notification channel — scope as a future milestone.",Backlog
Epic,Voice Agent,Voice Agent,Voice input and spoken output for hands-free price comparison.,
Story,Voice Agent,Voice search input via Web Speech API,"Mic button uses browser SpeechRecognition to fill the search box and trigger a search. Acceptance criteria: spoken query populates the input and returns results, in Chrome/Edge.",Done
Story,Voice Agent,Spoken read-out of the best deal,"Use SpeechSynthesis to say the best deal's store and price after a search completes. Acceptance criteria: best deal is read aloud automatically after results load.",Done
Story,Voice Agent,Graceful fallback on unsupported browsers,"Show a clear message if SpeechRecognition isn't available (e.g. Safari/Firefox). Acceptance criteria: mic button shows an explanatory error instead of failing silently.",Done
Story,Voice Agent,Conversational follow-up commands,"Support follow-ups like 'read me the next three' or 'filter under 200 dollars' without a fresh typed search. Acceptance criteria: at least 2 follow-up intents are supported.",To Do
Story,Voice Agent,Evaluate a standalone voice-agent platform,"Research whether a dedicated speech-to-speech agent (e.g. for a phone-based or smart-speaker experience) is worth building beyond the in-browser Web Speech API. Deliverable: a short recommendation doc, not code.",Backlog
Epic,Deployment and Ops,Deployment and Ops,Get the app running somewhere the team and users can actually reach.,
Story,Deployment and Ops,Containerize the backend,"Add a Dockerfile for the Express backend. Acceptance criteria: `docker build && docker run` serves /api/health successfully.",To Do
Story,Deployment and Ops,Deploy backend and frontend to hosting,"Deploy backend (e.g. Render/Fly.io) and frontend (e.g. Vercel/Netlify) with the frontend pointed at the deployed backend URL. Acceptance criteria: app is reachable at a public URL and a real search works end-to-end.",To Do
Story,Deployment and Ops,Set up secrets management for APIFY_TOKEN in production,"Ensure the Apify token is never committed and is injected via the hosting provider's secret store. Acceptance criteria: no token appears in any tracked file.",To Do
Story,Deployment and Ops,Set up CI for lint/test on push,"Run lint and any tests automatically on PRs. Acceptance criteria: CI fails the build on lint/test errors.",To Do
